title,link,main_category,rating,reviews,website,phone,address
Siêu thị dũng bình,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+d%C5%A9ng+b%C3%ACnh/data=!4m7!3m6!1s0x31344b61a186c669:0xcdf1cab3d0943286!8m2!3d20.754451!4d105.6972125!16s%2Fg%2F11j5gbfw2d!19sChIJacaGoWFLNDERhjKU0LPK8c0?authuser=0&hl=en&rclk=1,Supermarket,5,1,,,"QM3W+QVP Siêu thị dũng bình, ĐT419, An Mỹ, Mỹ Đức, Hà Nội"
Siêu thị Sữa,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+S%E1%BB%AFa/data=!4m7!3m6!1s0x3134358890bc19f3:0xd2cc0d7190152591!8m2!3d20.6873674!4d105.7411407!16s%2Fg%2F11t_kx4n66!19sChIJ8xm8kIg1NDERkSUVkHENzNI?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Siêu thị Sữa, 95 ĐT419, TT. Đại Nghĩa, Mỹ Đức, Hà Nội"
Siêu Thị TRÀ MY MART,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+TR%C3%80+MY+MART/data=!4m7!3m6!1s0x31344bc18a5751dd:0x7090ba5e9f31facb!8m2!3d20.7550059!4d105.6973726!16s%2Fg%2F11gxhhykz2!19sChIJ3VFXisFLNDERy_oxn166kHA?authuser=0&hl=en&rclk=1,Shopping mall,4.5,2,,0932 661 368,"Siêu Thị TRÀ MY MART, Kinh Đào, Mỹ Đức, Hà Nội"
"Siêu thị Điện máy XANH Hương Sơn, Mỹ Đức","https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+%C4%90i%E1%BB%87n+m%C3%A1y+XANH+H%C6%B0%C6%A1ng+S%C6%A1n,+M%E1%BB%B9+%C4%90%E1%BB%A9c/data=!4m7!3m6!1s0x3135cccb036d9289:0x36cb46b1046afb38!8m2!3d20.6180636!4d105.7829451!16s%2Fg%2F11f123grpn!19sChIJiZJtA8vMNTEROPtqBLFGyzY?authuser=0&hl=en&rclk=1",Electronics store,4.7,94,https://www.dienmayxanh.com/?utm_source=GMB_list&utm_medium=organic&utm_campaign=GMB_website,1800 1061,"Siêu thị Điện máy XANH Hương Sơn, Mỹ Đức, Xóm 3, thôn, Hội Xá, Mỹ Đức, Hà Nội 100000"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x31344ba732aaace7:0x16e924305536d58b!8m2!3d20.753757!4d105.6967499!16s%2Fg%2F11sl25sgm9!19sChIJ56yqMqdLNDERi9U2VTAk6RY?authuser=0&hl=en&rclk=1,Grocery store,,,http://winmart.vn/,,"QM3W+GM5 WinMart+, ĐT419, An Mỹ, Mỹ Đức, Hà Nội"
Siêu thị Điện máy XANH,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+%C4%90i%E1%BB%87n+m%C3%A1y+XANH/data=!4m7!3m6!1s0x313434fbfb7e50d5:0x6207a04ada8d6933!8m2!3d20.6866412!4d105.7417034!16s%2Fg%2F11bzyxsdmz!19sChIJ1VB--_s0NDERM2mN2kqgB2I?authuser=0&hl=en&rclk=1,Electronics store,4.4,98,https://www.dienmayxanh.com/?utm_source=GMB_list&utm_medium=organic&utm_campaign=GMB_website,1800 1061,"Siêu thị Điện máy XANH, 117 Đại Nghĩa, TT. Đại Nghĩa, Mỹ Đức, Hà Nội 10000"
Hiền Lương Supermarket,https://www.google.com/maps/place/Hi%E1%BB%81n+L%C6%B0%C6%A1ng+Supermarket/data=!4m7!3m6!1s0x313434e251bba2d1:0xe5eb70baa16d6773!8m2!3d20.6898142!4d105.7494295!16s%2Fg%2F11btrs7rf_!19sChIJ0aK7UeI0NDERc2dtobpw6-U?authuser=0&hl=en&rclk=1,Supermarket,3.9,916,,,"MPQX+WQF Hiền Lương Supermarket, Tỉnh Lộ 424, Hòa Xá, Ứng Hòa, Hà Nội"
Chợ Tế Tiêu,https://www.google.com/maps/place/Ch%E1%BB%A3+T%E1%BA%BF+Ti%C3%AAu/data=!4m7!3m6!1s0x313434fbda1470d9:0x655798ec2041e710!8m2!3d20.6853581!4d105.7414784!16s%2Fg%2F11csb1ysbz!19sChIJ2XAU2vs0NDEREOdBIOyYV2U?authuser=0&hl=en&rclk=1,Flea market,3.9,176,,0984 824 660,"MPPR+4HX Chợ Tế Tiêu, Đại Đồng, Mỹ Đức, Hà Nội"
"WM+ HNI Tuy Lai, Mỹ Đức","https://www.google.com/maps/place/WM%2B+HNI+Tuy+Lai,+M%E1%BB%B9+%C4%90%E1%BB%A9c/data=!4m7!3m6!1s0x313449d8b79eaa3f:0x73297a33aaf9d441!8m2!3d20.7635461!4d105.6705801!16s%2Fg%2F11tnj7w_5b!19sChIJP6qet9hJNDERQdT5qjN6KXM?authuser=0&hl=en&rclk=1",Convenience store,,,,,"QM7C+C68 WM+ HNI Tuy Lai, Mỹ Đức, Tuy Lai, Mỹ Đức, Hà Nội"
