title,link,main_category,rating,reviews,website,phone,address
Siêu Thị Win Mart +,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Win+Mart+%2B/data=!4m7!3m6!1s0x3134588c44e26adb:0x7f78351469ea0af7!8m2!3d21.1097438!4d105.5398984!16s%2Fg%2F1jkwcqs2s!19sChIJ22riRIxYNDER9wrqaRQ1eH8?authuser=0&hl=en&rclk=1,Supermarket,3.5,4,,,"4G5Q+VXR Siêu Thị Win Mart +, Phố Gạch, TT. Phúc Thọ, Phúc Thọ, Hà Nội"
Siêu thị mini Tâm An,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+mini+T%C3%A2m+An/data=!4m7!3m6!1s0x31345968d1808219:0xddfb741bafa86f97!8m2!3d21.1055467!4d105.5429491!16s%2Fg%2F11fl4hxm4n!19sChIJGYKA0WhZNDERl2-orxt0-90?authuser=0&hl=en&rclk=1,Shopping mall,5,3,,0987 711 039,"Siêu thị mini Tâm An, 2 Lạc Trị, TT. Phúc Thọ, Phúc Thọ, Hà Nội"
Anh lưu lan phúc thọ,https://www.google.com/maps/place/Anh+l%C6%B0u+lan+ph%C3%BAc+th%E1%BB%8D/data=!4m7!3m6!1s0x3134594a630a75b5:0x5d5b4750d4bac89c!8m2!3d21.1101821!4d105.5395057!16s%2Fg%2F11j95xg4xq!19sChIJtXUKY0pZNDERnMi61FBHW10?authuser=0&hl=en&rclk=1,Supermarket,,,,,"4G6Q+3RC Anh lưu lan phúc thọ, ĐT82, TT. Phúc Thọ, Phúc Thọ, Hà Nội"
Điện máy Xanh Phúc Thọ,https://www.google.com/maps/place/%C4%90i%E1%BB%87n+m%C3%A1y+Xanh+Ph%C3%BAc+Th%E1%BB%8D/data=!4m7!3m6!1s0x3134592d298a5f9d:0x56e76f6f4f15a008!8m2!3d21.1084221!4d105.5356697!16s%2Fg%2F11t7zjr19r!19sChIJnV-KKS1ZNDERCKAVT29v51Y?authuser=0&hl=en&rclk=1,Electronics store,,,,,"4G5P+977 Điện máy Xanh Phúc Thọ, Lạc Trị, TT. Phúc Thọ, Phúc Thọ, Hà Nội"
Shop Sữa - Bột Trẻ Em Thái Hảo,https://www.google.com/maps/place/Shop+S%E1%BB%AFa+-+B%E1%BB%99t+Tr%E1%BA%BB+Em+Th%C3%A1i+H%E1%BA%A3o/data=!4m7!3m6!1s0x313458f35603e6cb:0x785bc6249e410be2!8m2!3d21.1053898!4d105.541589!16s%2Fg%2F11c6w02g6l!19sChIJy-YDVvNYNDER4gtBniTGW3g?authuser=0&hl=en&rclk=1,Health food store,,,,0384 133 436,"Shop Sữa - Bột Trẻ Em Thái Hảo, Cụm 7, Thị Trấn Phúc Thọ, Huyện Phúc Thọ, Thành Phố Hà Nội, TT. Phúc Thọ, Phúc Thọ, Hà Nội 100000"
Cửa hàng Tap hóa Nga Biên,https://www.google.com/maps/place/C%E1%BB%ADa+h%C3%A0ng+Tap+ho%CC%81a+Nga+Bi%C3%AAn/data=!4m7!3m6!1s0x3134588c3633063d:0x3ce431340c3eca9b!8m2!3d21.1107758!4d105.5391838!16s%2Fg%2F11c1s9jz3l!19sChIJPQYzNoxYNDERm8o-DDQx5Dw?authuser=0&hl=en&rclk=1,Grocery store,4.4,5,,024 6662 2275,"4G6Q+8M7 Cửa hàng Tap hóa Nga Biên, TT. Phúc Thọ, Phúc Thọ, Hà Nội"
Phuong Linh 's mini Supermarket,https://www.google.com/maps/place/Phuong+Linh+%27s+mini+Supermarket/data=!4m7!3m6!1s0x3134f794723ee4f5:0x1af0ca253b91a0f3!8m2!3d21.1495003!4d105.5909387!16s%2Fg%2F11qpscy6m0!19sChIJ9eQ-cpT3NDER86CROyXK8Bo?authuser=0&hl=en&rclk=1,Grocery store,4,6,,0988 244 261,"Phuong Linh 's mini Supermarket, Vân Phúc, Phúc Thọ, Hà Nội"
Siêu thị mini mart Dung Hiển,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+mini+mart+Dung+Hi%E1%BB%83n/data=!4m7!3m6!1s0x3134f9a55fa57983:0x5788760ca78cbc32!8m2!3d21.1472449!4d105.5952279!16s%2Fg%2F11qpwzxn2t!19sChIJg3mlX6X5NDERMryMpwx2iFc?authuser=0&hl=en&rclk=1,Convenience store,5,1,,0989 145 514,"Siêu thị mini mart Dung Hiển, Unnamed Road, Vân Phúc, Phúc Thọ, Hà Nội"
Siêu Thị Nội Vịnh,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+N%E1%BB%99i+V%E1%BB%8Bnh/data=!4m7!3m6!1s0x313457a3aff05fe7:0x6d0ccabe65d0e93e!8m2!3d21.0834336!4d105.6214507!16s%2Fg%2F11fxx4dpbf!19sChIJ51_wr6NXNDERPunQZb7KDG0?authuser=0&hl=en&rclk=1,Grocery store,4.1,10,,,"Siêu Thị Nội Vịnh, 25 đường Tam Hiệp, 3 Thôn 7, Tam Hiệp, Phúc Thọ, Hà Nội"
